"filename", "language", "Go", "Markdown", "SQL", "Makefile", "Go Checksum File", "Go Module File", "YAML", "Docker", "JSON", "comment", "blank", "total"
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 7, 17
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\Makefile", "Makefile", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\Readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\cmd\app\main.go", "Go", 8, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 36
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\configs\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\docker-compose.test.yml", "YAML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\docs\docs.go", "Go", 7676, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 7683
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\docs\swagger.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 7658, 0, 0, 7658
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\docs\swagger.yaml", "YAML", 0, 0, 0, 0, 0, 0, 5074, 0, 0, 0, 1, 5075
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\attendance.go", "Go", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\classroom.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\departament.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\discipline.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\disciplineType.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\educationLevel.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\educationType.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\faculty.go", "Go", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\group.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\headman.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\profile.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\report.go", "Go", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\schedule.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\specialty.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\student.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\teacher.go", "Go", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\university.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\domain\user.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\go.mod", "Go Module File", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 3, 86
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\go.sum", "Go Checksum File", 0, 0, 0, 0, 269, 0, 0, 0, 0, 0, 1, 270
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\insert.sql", "SQL", 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 12, 126
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\insert_version_2.sql", "SQL", 0, 0, 109, 0, 0, 0, 0, 0, 0, 10, 13, 132
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\app\app.go", "Go", 77, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 98
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\config\config.go", "Go", 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 80
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\attendance.go", "Go", 306, 0, 0, 0, 0, 0, 0, 0, 0, 118, 65, 489
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\classroom.go", "Go", 114, 0, 0, 0, 0, 0, 0, 0, 0, 64, 29, 207
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\departament.go", "Go", 166, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 287
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\discipline.go", "Go", 142, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 263
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\disciplineType.go", "Go", 114, 0, 0, 0, 0, 0, 0, 0, 0, 64, 29, 207
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\educationLevel.go", "Go", 114, 0, 0, 0, 0, 0, 0, 0, 0, 64, 29, 207
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\educationType.go", "Go", 123, 0, 0, 0, 0, 0, 0, 0, 0, 75, 32, 230
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\errors.go", "Go", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\faculty.go", "Go", 170, 0, 0, 0, 0, 0, 0, 0, 0, 98, 35, 303
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\group.go", "Go", 130, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 251
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\handler.go", "Go", 220, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36, 261
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\headman.go", "Go", 133, 0, 0, 0, 0, 0, 0, 0, 0, 78, 32, 243
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\middleware.go", "Go", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\profile.go", "Go", 157, 0, 0, 0, 0, 0, 0, 0, 0, 97, 38, 292
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\regexes.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\reponse.go", "Go", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\report.go", "Go", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\schedule.go", "Go", 419, 0, 0, 0, 0, 0, 0, 0, 0, 212, 87, 718
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\specialty.go", "Go", 142, 0, 0, 0, 0, 0, 0, 0, 0, 86, 35, 263
"c:\Users\vibeb\Desktop\Диплом\разработка\osau_ams_api\internal\handler\student.go", "Go", 141, 0, 0, 0, 0, 0, 0, 0, 0, 75, 32, 248
